ax,ay,az,gx,gy,gz,time
402149.0,0.11,-0.35,9.92,0.01,0.01,-0.0
402162.0,0.11,-0.39,9.99,0.02,0.02,-0.0
402175.0,0.06,-0.35,9.95,0.01,0.02,0.0
402188.0,0.08,-0.39,9.93,0.01,0.01,-0.0
402201.0,0.0,-0.42,9.83,0.01,0.01,-0.0
402214.0,0.05,-0.35,10.02,0.0,0.01,0.0
402227.0,0.09,-0.28,9.91,0.02,0.01,-0.0
402240.0,0.14,-0.32,9.99,0.01,0.01,-0.0
402254.0,0.07,-0.37,9.95,0.01,0.01,-0.0
402267.0,0.11,-0.34,9.94,0.01,0.02,-0.0
402280.0,0.09,-0.35,9.9,0.01,0.02,0.0
402293.0,0.13,-0.35,9.96,0.01,0.01,-0.0
402306.0,0.11,-0.33,9.89,0.01,0.01,-0.0
402319.0,0.1,-0.37,9.94,0.02,0.02,-0.0
402332.0,0.07,-0.35,9.9,0.01,0.02,-0.0
402345.0,-0.01,-0.37,9.92,0.01,0.01,-0.01
402358.0,0.03,-0.42,9.9,0.01,0.01,-0.0
402371.0,0.05,-0.37,9.96,0.02,0.02,0.0
402384.0,0.08,-0.36,9.93,0.01,0.01,0.0
402397.0,0.06,-0.36,9.91,0.02,0.01,-0.0
402410.0,0.02,-0.31,9.9,0.01,0.02,0.0
402423.0,0.02,-0.43,9.92,0.01,0.01,-0.0
402436.0,0.07,-0.39,9.91,-0.0,0.01,0.01
402449.0,-0.74,-1.69,9.97,0.01,0.01,0.11
402462.0,-0.12,-1.51,10.31,0.02,0.01,0.43
402475.0,-0.55,-1.01,9.74,0.03,0.01,0.52
402488.0,-0.13,-0.61,9.95,0.01,0.0,0.65
402502.0,0.23,0.68,9.73,0.04,-0.0,0.62
402515.0,-0.03,2.79,9.72,-0.0,0.01,0.02
402528.0,0.25,0.01,10.01,-0.01,0.02,-0.09
402541.0,0.77,-0.87,9.91,-0.0,0.01,-0.05
402554.0,0.05,-0.13,9.84,-0.03,0.0,-0.01
402567.0,-0.2,-0.06,9.71,-0.08,0.0,-0.03
402580.0,0.21,-0.88,10.13,-0.13,-0.01,-0.01
402593.0,0.25,-1.27,9.97,0.01,0.02,-0.01
402606.0,0.19,-1.52,10.2,0.1,0.03,0.04
402619.0,0.34,-0.82,9.2,0.26,0.08,0.04
402632.0,0.35,0.4,10.71,0.02,0.04,-0.13
402645.0,0.26,0.28,10.3,0.03,0.1,-0.26
402658.0,0.13,0.07,10.12,0.03,0.19,-0.15
402671.0,0.34,0.58,10.28,0.02,0.24,-0.05
402684.0,0.6,0.48,10.15,0.05,0.28,-0.01
402697.0,-0.3,0.16,9.86,0.04,0.3,-0.02
402710.0,-1.01,-0.14,9.0,0.21,0.16,0.19
402723.0,-0.29,-0.25,9.46,0.26,0.02,0.33
402736.0,0.4,-0.61,10.59,0.06,0.1,0.39
402749.0,-0.22,-0.44,10.74,0.2,0.15,0.32
402763.0,-0.5,-0.17,10.47,0.41,0.25,0.01
402776.0,-0.1,0.28,9.94,0.35,0.3,-0.15
